"","j_hidp","j_qfhigh_dv"
"885",71910018,3
"886",71923618,13
"887",71923618,96
"888",71923618,15
"889",71930418,13
"890",71930418,13
"891",71944018,13
"892",71944018,13
"893",71950818,5
"894",71957618,2
"895",71957618,13
"896",71964418,96
"897",71964418,96
"898",71971218,7
"899",71971218,13
"900",71978018,3
"901",71984818,11
"902",71991618,13
"903",71998418,2
"904",72005218,96
"905",72005218,-8
"906",72005218,-8
"907",72012018,1
"908",72012018,96
"909",72018818,7
"910",72018818,13
"911",72025618,2
"912",72032418,13
"913",72032418,11
"914",72032418,15
"915",72032418,-8
"916",73310818,-8
"917",73310818,-8
"918",73310818,13
"919",76030818,11
"920",72039218,11
"921",73317618,1
"922",73317618,-8
"923",73324418,96
"924",72059618,2
"925",72066418,4
"926",72066418,1
"927",72073218,3
"928",72080018,2
"929",72086818,96
"930",72093618,96
"931",72100418,1
"932",72100418,2
"933",72107218,2
"934",72107218,15
"935",72114018,1
"936",72114018,1
"937",72120818,1
"938",72127618,5
"939",72134418,1
"940",72141218,2
"941",73331218,96
"942",73331218,96
"943",72148018,1
"944",73338018,-8
"945",72154818,13
"946",72154818,13
"947",73344818,-8
"948",69026818,7
"949",72175218,13
"950",72175218,16
"951",73351618,-8
"952",72195618,2
"953",72202418,96
"954",72209218,2
"955",72209218,14
"956",72209218,3
"957",72216018,13
"958",72209218,15
"959",72222818,13
"960",72222818,13
"961",72222818,13
"962",72229618,3
"963",72229618,96
"964",73358418,96
"965",73365218,96
"966",72236418,96
"967",72243218,2
"968",72236418,1
"969",72236418,-8
"970",72236418,1
"971",72236418,1
"972",72236418,13
"973",72250018,1
"974",73372018,-8
"975",73378818,-8
"976",73378818,96
"977",73378818,2
"978",72256818,14
"979",72256818,16
"980",72263618,96
"981",73385618,-8
"982",69278418,2
"983",73406018,96
"984",72270418,16
"985",73406018,-8
"986",73419618,-8
"987",73426418,-8
"988",69366818,7
"989",73433218,-8
"990",73433218,-8
"991",73433218,-8
"992",73440018,-8
"993",73446818,96
"994",73446818,-8
"995",72284018,1
"996",72284018,1
"997",72290818,1
"998",72304418,1
"999",72297618,7
"1000",73453618,96
"1001",73467218,96
"1002",73467218,96
"1003",73474018,-8
"1004",73480818,4
"1005",73480818,7
"1006",73487618,-8
"1007",73487618,3
"1008",73487618,13
"1009",73487618,10
"1010",73494418,-8
"1011",72311218,1
"1012",72311218,1
"1013",73501218,13
"1014",73501218,-8
"1015",73508018,-8
"1016",72331618,13
"1017",73508018,96
"1018",73508018,13
"1019",72352018,1
"1020",72352018,2
"1021",73521618,-8
"1022",73521618,96
"1023",72358818,7
"1024",73528418,96
"1025",73535218,-8
"1026",72365618,1
"1027",72372418,3
"1028",72379218,5
"1029",72379218,13
"1030",73542018,96
"1031",73542018,-8
"1032",73542018,13
"1033",72386018,5
"1034",73548818,96
"1035",73548818,10
"1036",72392818,96
"1037",72392818,7
"1038",73555618,96
"1039",73555618,7
"1040",73555618,13
"1041",73576018,13
"1042",69584418,2
"1043",73582818,3
"1044",73582818,96
"1045",73589618,-8
"1046",73589618,1
"1047",69292018,2
"1048",73596418,-8
"1049",73596418,16
"1050",73596418,7
"1051",73603218,-8
"1052",73603218,-8
"1053",73603218,-8
"1054",72433618,14
"1055",73610018,96
"1056",73610018,96
"1057",73610018,96
"1058",73610018,10
"1059",76003618,2
"1060",73616818,96
"1061",72440418,2
"1062",72440418,1
"1063",72454018,13
"1064",72454018,2
"1065",73623618,2
